       Step     Time          Energy          fmax
MDMin:   40 16:18:21       42.944077        4.351745
MDMin:   41 16:18:21       41.715124        4.342999
MDMin:   42 16:18:21       40.558897        4.332655
MDMin:   43 16:18:21       39.468001        4.321671
MDMin:   44 16:18:21       38.436241        4.310713
MDMin:   45 16:18:21       37.458349        4.300040
MDMin:   46 16:18:21       36.529751        4.289497
MDMin:   47 16:18:21       35.646380        4.278610
MDMin:   48 16:18:21       34.804555        4.266474
MDMin:   49 16:18:21       34.000854        4.252572
MDMin:   50 16:18:21       33.232163        4.236378
MDMin:   51 16:18:21       32.495628        4.217825
MDMin:   52 16:18:21       31.788699        4.197168
MDMin:   53 16:18:21       31.109139        4.174814
MDMin:   54 16:18:21       30.454997        4.151085
MDMin:   55 16:18:21       29.824560        4.126360
MDMin:   56 16:18:21       29.216326        4.102140
MDMin:   57 16:18:21       28.629129        4.079243
MDMin:   58 16:18:21       28.061996        4.058197
MDMin:   59 16:18:21       27.514077        4.039080
MDMin:   60 16:18:21       26.984567        4.021967
MDMin:   61 16:18:21       26.472707        4.006472
MDMin:   62 16:18:21       25.977727        3.992171
MDMin:   63 16:18:21       25.498860        3.978744
MDMin:   64 16:18:21       25.035355        3.966011
MDMin:   65 16:18:21       24.586503        3.953377
MDMin:   66 16:18:21       24.151590        3.940513
MDMin:   67 16:18:22       23.729925        3.928248
MDMin:   68 16:18:22       23.320963        3.916553
MDMin:   69 16:18:22       22.924201        3.904994
MDMin:   70 16:18:22       22.539128        3.892626
MDMin:   71 16:18:22       22.165186        3.880355
MDMin:   72 16:18:22       21.801944        3.867927
MDMin:   73 16:18:22       21.448981        3.855048
MDMin:   74 16:18:22       21.105879        3.841473
MDMin:   75 16:18:22       20.772227        3.826628
MDMin:   76 16:18:22       20.447596        3.810563
MDMin:   77 16:18:22       20.131589        3.793946
MDMin:   78 16:18:22       19.823892        3.777007
MDMin:   79 16:18:22       19.524229        3.760252
MDMin:   80 16:18:22       19.232385        3.744006
MDMin:   81 16:18:22       18.948182        3.728510
MDMin:   82 16:18:22       18.671473        3.713901
MDMin:   83 16:18:22       18.402131        3.707176
MDMin:   84 16:18:22       18.138987        3.699621
MDMin:   85 16:18:22       17.884803        3.694720
MDMin:   86 16:18:22       17.636899        3.686786
MDMin:   87 16:18:22       17.396911        3.683157
MDMin:   88 16:18:22       17.163329        3.674261
MDMin:   89 16:18:22       16.936589        3.652662
MDMin:   90 16:18:22       16.730836        3.637614
MDMin:   91 16:18:22       16.515018        3.619954
MDMin:   92 16:18:22       16.321020        3.599417
MDMin:   93 16:18:22       16.115391        3.585418
MDMin:   94 16:18:22       15.932290        3.560290
MDMin:   95 16:18:22       15.736253        3.555811
MDMin:   96 16:18:22       15.548373        3.515383
MDMin:   97 16:18:22       15.375725        3.517448
MDMin:   98 16:18:22       15.197631        3.479195
MDMin:   99 16:18:22       15.033566        3.479979
MDMin:  100 16:18:22       14.864999        3.448036
       Step     Time          Energy          fmax
MDMin:    0 17:06:19 14675965.799629    42775.656790
MDMin:    1 17:06:19 13177701.756893    29940.755696
MDMin:    2 17:06:20 11690713.407582    23819.104791
MDMin:    3 17:06:21 10365136.527294    18614.797904
MDMin:    4 17:06:22  9148110.850320    14577.707853
MDMin:    5 17:06:23  8042806.184832    11419.667498
MDMin:    6 17:06:24  7057167.791957     9293.342529
MDMin:    7 17:06:25  6264556.953617     5403.729630
MDMin:    8 17:06:26  6102609.884747     9115.849607
MDMin:    9 17:06:27  6084852.533196    12103.523883
MDMin:   10 17:06:28  5971208.451881    13696.488391
MDMin:   11 17:06:29  5841022.657507    14078.749750
MDMin:   12 17:06:30  5684075.104529    13475.111011
MDMin:   13 17:06:31  5496570.597574    12177.794082
MDMin:   14 17:06:31  5273386.664740    10471.027358
MDMin:   15 17:06:32  5011653.396317     8597.775709
MDMin:   16 17:06:33  4709062.391889     7174.618958
MDMin:   17 17:06:35  4381883.009913     5904.924931
MDMin:   18 17:06:35  4042511.264138     4688.581003
MDMin:   19 17:06:36  3690167.303960     3811.364367
MDMin:   20 17:06:37  3346827.324901     3591.349409
MDMin:   21 17:06:38  3062317.412154     3342.328635
MDMin:   22 17:06:39  2818983.514077     3075.810047
MDMin:   23 17:06:40  2605138.215649     2799.093183
MDMin:   24 17:06:41  2413400.693720     2529.609855
MDMin:   25 17:06:42  2238878.036873     2268.330163
MDMin:   26 17:06:43  2077996.598027     2026.666059
MDMin:   27 17:06:44  1928534.616821     1804.984588
MDMin:   28 17:06:45  1789141.705947     1605.377645
MDMin:   29 17:06:46  1659659.036826     1464.866949
MDMin:   30 17:06:47  1542114.725200     1360.925519
MDMin:   31 17:06:48  1436698.239848     1253.458437
MDMin:   32 17:06:49  1340499.049750     1137.478835
MDMin:   33 17:06:50  1251925.658896     1038.103389
MDMin:   34 17:06:51  1170330.893897      959.490798
MDMin:   35 17:06:52  1095678.078322      916.293807
MDMin:   36 17:06:53  1029423.293069      847.743114
MDMin:   37 17:06:54   968459.623699      793.532914
MDMin:   38 17:06:55   912601.307751      748.292449
MDMin:   39 17:06:56   861588.784009      702.443566
MDMin:   40 17:06:57   814391.570477      661.688223
MDMin:   41 17:06:58   771129.446767      621.213485
MDMin:   42 17:06:59   731043.776332      585.911296
MDMin:   43 17:07:00   694101.024750      549.937173
MDMin:   44 17:07:01   659525.072253      519.899658
MDMin:   45 17:07:02   627531.027739      492.062384
MDMin:   46 17:07:03   597854.883573      463.947286
MDMin:   47 17:07:04   570060.625809      435.554983
MDMin:   48 17:07:05   544008.183664      407.779693
MDMin:   49 17:07:06   519203.842247      380.474155
MDMin:   50 17:07:07   495809.571548      354.385350
MDMin:   51 17:07:08   473474.529763      330.594125
MDMin:   52 17:07:09   452205.827665      309.423115
MDMin:   53 17:07:09   432131.353052      289.127813
MDMin:   54 17:07:11   413038.381358      273.363420
MDMin:   55 17:07:11   395173.605266      258.037284
MDMin:   56 17:07:12   378261.689795      246.587932
